基金代码,基金简称,基金类型,资产规模(亿),基金管理人,基金净值,基金经理(最近连续最长任职),基金经理的上任时间,近三年标准差,近三年夏普,近三年涨幅,近五年涨幅
015109,中泰安益利率债C,债券型-长债,0.00,中泰证券(上海)资管,1.0193,蔡凤仪,2022-04-26,None,None,None,None
017554,尚正中证同业存单AAA指数7天持有,指数型-固收,0.15,尚正基金,1.0193,段吉华,2023-03-15,None,None,None,None
017756,国金中证同业存单AAA指数7天持有,指数型-固收,0.57,国金基金,1.0193,徐艳芳,2023-04-26,None,None,None,None
016432,财通资管睿兴债券A,债券型-长债,10.23,财通资管,1.0193,李杰,2023-07-25,None,None,None,None
018525,银河招益6个月持有混合A,混合型-偏债,1.96,银河基金,1.0193,魏璇,2024-01-24,None,None,None,None
014452,天弘惠享一年定开债券发起,债券型-混合一级,15.35,天弘基金,1.0192,柴文婷,2022-08-24,None,None,None,None
020357,华夏中证半导体材料设备主题ETF发起式联接C,指数型-股票,0.03,华夏基金,1.0192,单宽之,2024-06-11,None,None,None,None
020134,东方红60天持有纯债C,债券型-长债,2.59,东方红资产管理,1.0192,李燕,2023-12-12,None,None,None,None
005507,永赢丰利债券A,债券型-长债,30.09,永赢基金,1.0191,乔嘉麒,2018-01-29,0.77%,3.70,13.59%,19.72%
011951,国寿安保安弘纯债一年定开债,债券型-长债,10.25,国寿安保基金,1.0191,黄力,2023-02-01,None,None,None,None
970082,东海证券海鑫尊利,债券型-混合一级,0.00,东海证券,1.0191,潘一菲,2024-02-06,None,None,None,None
019320,易方达中证500质量成长ETF联接发起式A,指数型-股票,0.11,易方达基金,1.0191,伍臣东,2023-09-21,None,None,None,None
020124,银华沪深股通精选混合C,混合型-偏股,0.00,银华基金,1.0191,和玮,2023-11-24,None,None,None,None
160615,鹏华沪深300ETF联接(LOF)A,指数型-股票,9.44,鹏华基金,1.0190,苏俊杰,2022-08-03,15.04%,-0.74,-26.24%,10.99%
519332,浦银安盛盛达纯债债券A,债券型-长债,95.01,浦银安盛基金,1.0190,章潇枫,2017-05-15,0.59%,2.28,8.75%,15.99%
006662,易方达安悦超短债A,债券型-中短债,57.21,易方达基金,1.0190,刘朝阳,2018-12-05,0.21%,5.25,8.04%,14.30%
100032,富国中证红利指数增强A,指数型-股票,64.23,富国基金,1.0190,徐幼华,2011-05-13,15.04%,0.27,17.41%,45.80%
014657,中欧融享增益一年持有期混合A,混合型-偏债,4.03,中欧基金,1.0190,华李成,2022-01-25,None,None,None,None
018598,兴证全球招益债券C,债券型-混合二级,2.08,兴证全球基金,1.0190,张睿,2023-07-05,None,None,None,None
018959,中银鑫呈一年定开债券发起式,债券型-长债,10.26,中银基金,1.0190,周毅,2023-09-21,None,None,None,None
019756,东方红季鑫90天持有纯债C,债券型-长债,5.80,东方红资产管理,1.0190,徐觅,2023-12-08,None,None,None,None
009292,易方达年年恒春定开债A,债券型-长债,23.47,易方达基金,1.0189,李一硕,2020-04-27,0.55%,4.50,12.47%,None
012254,鹏扬景润一年持有混合C,混合型-偏债,0.17,鹏扬基金,1.0189,李人望,2023-08-28,None,None,None,None
015539,富国元利债券A,债券型-混合二级,2.73,富国基金,1.0189,钱伟华,2022-05-31,None,None,None,None
016657,汇丰晋信丰宁三个月定开债券C,债券型-长债,0.00,汇丰晋信基金,1.0189,蔡若林,2022-12-20,None,None,None,None
020044,东方红中债0-3年政金债指数A,指数型-固收,10.61,东方红资产管理,1.0189,高德勇,2023-12-22,None,None,None,None
020045,东方红中债0-3年政金债指数C,指数型-固收,0.00,东方红资产管理,1.0189,高德勇,2023-12-22,None,None,None,None
519777,交银裕盈纯债债券C,债券型-长债,51.28,交银施罗德基金,1.0188,于海颖,2022-11-12,0.65%,1.73,8.06%,13.25%
004226,国寿安保稳诚混合C,混合型-偏债,0.13,国寿安保基金,1.0188,吴坚,2019-01-09,3.21%,-0.17,2.91%,25.67%
011256,交银鸿光一年混合A,混合型-偏债,9.04,交银施罗德基金,1.0188,于海颖,2021-03-08,3.38%,-0.48,-0.37%,None
016651,汇丰晋信慧嘉债券A,债券型-混合二级,1.22,汇丰晋信基金,1.0188,蔡若林,2023-01-17,None,None,None,None
018393,富国稳健添利债券A,债券型-混合二级,0.34,富国基金,1.0188,刘兴旺,2023-05-30,None,None,None,None
019188,中银证券和瑞一年持有混合C,混合型-偏债,1.50,中银证券,1.0188,王文华,2023-12-04,None,None,None,None
019810,华泰柏瑞鸿瑞60天持有期债券C,债券型-长债,0.58,华泰柏瑞基金,1.0188,郑青,2023-11-21,None,None,None,None
003037,广发集瑞债券A,债券型-混合二级,2.80,广发基金,1.0187,郎振东,2021-04-09,2.16%,-0.73,-0.22%,6.24%
006664,易方达安悦超短债F,债券型-中短债,0.44,易方达基金,1.0187,刘朝阳,2018-12-05,0.21%,5.30,8.00%,14.16%
007169,易方达中债1-3年国开债A,指数型-固收,44.08,易方达基金,1.0187,杨真,2020-11-28,0.63%,2.64,9.76%,17.46%
009293,易方达年年恒春定开债C,债券型-长债,0.11,易方达基金,1.0187,李一硕,2020-04-27,0.55%,3.96,11.46%,None
012790,汇添富双享回报债券C,债券型-混合二级,0.27,汇添富基金,1.0187,丁巍,2021-12-23,None,None,None,None
008968,申万菱信安泰鼎利一年定开债,债券型-长债,10.39,申万菱信基金,1.0187,叶瑜珍,2020-02-27,None,None,9.71%,None
005936,申万菱信安泰惠利纯债A,债券型-长债,49.52,申万菱信基金,1.0186,唐俊杰,2019-01-25,0.57%,3.30,10.48%,18.95%
010435,富国双债增强债券A,债券型-混合二级,32.41,富国基金,1.0186,俞晓斌,2020-11-18,4.20%,0.01,4.67%,None
013776,中泰兴为价值精选混合A,混合型-偏股,10.82,中泰证券(上海)资管,1.0186,姜诚,2022-01-18,None,None,None,None
012376,西部利得祥逸债券D,债券型-长债,0.53,西部利得基金,1.0186,易圣倩,2022-03-16,None,None,None,None
015949,上银聚恒益一年定开债发起,债券型-长债,50.51,上银基金,1.0186,马小东,2023-12-01,None,None,None,None
017569,华夏稳茂增益一年持有混合C,混合型-偏债,1.09,华夏基金,1.0186,宋洋,2023-04-03,None,None,None,None
019042,浦银安盛稳健富利180天持有债券C,债券型-混合二级,6.20,浦银安盛基金,1.0186,李羿,2023-11-07,None,None,None,None
005269,华泰柏瑞港股通量化混合A,混合型-灵活,0.56,华泰柏瑞基金,1.0186,盛豪,2017-12-20,15.86%,-0.23,-6.37%,11.02%
006631,鑫元臻利A,债券型-长债,5.69,鑫元基金,1.0185,颜昕,2022-09-30,0.68%,2.72,10.39%,18.60%
009252,蜂巢添元纯债A,债券型-长债,20.05,蜂巢基金,1.0185,金之洁,2020-10-13,0.58%,3.60,11.13%,None
012684,东方红安盈甄选一年持有混合C,混合型-偏债,0.87,东方红资产管理,1.0185,余剑峰,2023-02-15,None,None,None,None
017025,天弘通享债券发起C,债券型-长债,0.05,天弘基金,1.0185,潘昱杉,2022-11-19,None,None,None,None
017609,汇添富远景成长一年持有混合C,混合型-偏股,0.18,汇添富基金,1.0185,谢昌旭,2023-08-09,None,None,None,None
018247,长盛盛华一年定开债券发起式,债券型-混合一级,5.14,长盛基金,1.0185,王赛飞,2023-12-04,None,None,None,None
020057,银河高端装备混合发起式A,混合型-偏股,0.10,银河基金,1.0185,石磊,2023-12-06,None,None,None,None
021710,华泰柏瑞港股通量化混合C,混合型-灵活,None,华泰柏瑞基金,1.0185,盛豪,2024-06-19,None,None,None,None
006882,华泰保兴健康消费A,混合型-偏股,0.02,华泰保兴基金,1.0184,赵旭照,2019-06-03,16.51%,-1.13,-43.25%,1.66%
009255,中银添盛39个月定期开放债券,债券型-长债,80.95,中银基金,1.0184,高志刚,2023-04-17,None,None,9.50%,None
008495,景顺长城景泰添利一年定开债,债券型-长债,9.78,景顺长城基金,1.0184,赵天彤,2022-09-22,0.80%,2.02,9.63%,None
008726,平安添裕债券A,债券型-混合二级,0.47,平安基金,1.0184,韩克,2020-06-17,4.22%,-0.57,-2.70%,None
007165,华夏中债1-3年政金债指数A,指数型-固收,53.87,华夏基金,1.0184,张海静,2021-01-27,0.68%,2.65,10.27%,17.02%
012204,中银通利债券A,债券型-混合二级,1.55,中银基金,1.0184,陈玮,2021-06-24,None,None,1.81%,None
014388,渤海汇金兴宸一年定开债券发起,债券型-长债,16.40,渤海汇金,1.0184,李杨,2022-06-14,None,None,None,None
012998,招商稳旺混合A,混合型-偏债,1.16,招商基金,1.0184,侯杰,2022-03-15,None,None,None,None
018678,中泰中证同业存单AAA指数7天持有,指数型-固收,1.47,中泰证券(上海)资管,1.0184,王瑞,2023-08-22,None,None,None,None
018526,银河招益6个月持有混合C,混合型-偏债,0.15,银河基金,1.0184,魏璇,2024-01-24,None,None,None,None
020153,华宝0-3年政金债指数A,指数型-固收,15.12,华宝基金,1.0184,徐锬,2024-01-18,None,None,None,None
003445,中加丰享纯债债券,债券型-长债,61.75,中加基金,1.0183,王霈,2020-03-20,0.70%,2.97,11.07%,18.29%
007890,银河聚星两年定开债券,债券型-长债,80.22,银河基金,1.0183,蒋磊,2019-12-18,None,None,4.69%,None
013146,兴银汇泓一年定开债发起,债券型-长债,20.29,兴银基金管理,1.0183,范泰奇,2024-04-26,None,None,None,None
012052,财通资管新聚益6个月持有混合发起式A,混合型-偏债,0.10,财通资管,1.0183,马航,2022-10-31,None,None,None,None
018717,工银瑞宁3个月定开债券C,债券型-长债,0.00,工银瑞信基金,1.0183,姚璐伟,2023-09-26,None,None,None,None
019043,华夏鼎创债券A,债券型-长债,83.02,华夏基金,1.0183,吴彬,2023-10-18,None,None,None,None
020154,华宝0-3年政金债指数C,指数型-固收,0.00,华宝基金,1.0183,徐锬,2024-01-18,None,None,None,None
018910,中欧科技成长混合A,混合型-偏股,0.12,中欧基金,1.0183,代云锋,2024-02-02,None,None,None,None
160523,博时安丰18个月定开债C,债券型-长债,0.02,博时基金,1.0182,王帅,2022-09-09,0.72%,2.76,10.83%,21.76%
008268,国泰添瑞一年定开债,债券型-长债,9.10,国泰基金,1.0182,魏伟,2023-05-25,0.88%,3.13,13.34%,None
013667,中加瑞鸿一年定开债发起,债券型-长债,15.32,中加基金,1.0182,李子家,2023-03-29,None,None,None,None
015995,汇安裕盈纯债债券A,债券型-长债,3.10,汇安基金,1.0182,张昆,2022-10-12,None,None,None,None
018403,富国稳健添利债券E,债券型-混合二级,0.00,富国基金,1.0182,刘兴旺,2023-05-30,None,None,None,None
018958,富国双债增强债券E,债券型-混合二级,1.32,富国基金,1.0182,俞晓斌,2023-08-04,None,None,None,None
019405,华夏中证全指运输ETF发起式联接C,指数型-股票,0.01,华夏基金,1.0182,华龙,2023-09-27,None,None,None,None
519116,浦银安盛沪深300指数增强A,指数型-股票,5.59,浦银安盛基金,1.0182,罗雯,2022-11-11,15.34%,-0.78,-28.28%,9.22%
008761,南方骏元中短利率债,债券型-中短债,25.03,南方基金,1.0182,黄斌斌,2020-02-27,0.73%,2.30,9.87%,None
003993,前海开源沪港深核心驱动混合,混合型-灵活,0.51,前海开源基金,1.0181,吴国清,2020-05-11,29.42%,-0.34,-23.13%,12.36%
004066,嘉实稳熙纯债债券,债券型-长债,20.51,嘉实基金,1.0181,崔思维,2017-07-06,0.80%,2.26,10.26%,16.37%
004031,鑫元添利三个月定开债,债券型-混合一级,17.02,鑫元基金,1.0181,郭卉,2019-12-26,None,None,12.45%,18.16%
007170,易方达中债1-3年国开债C,指数型-固收,0.40,易方达基金,1.0181,杨真,2020-11-28,0.63%,2.50,9.47%,16.92%
008951,鹏华尊裕一年定开债,债券型-长债,10.13,鹏华基金,1.0181,吴国杰,2022-07-01,0.60%,2.51,9.32%,None
016716,建信渤泰债券C,债券型-混合二级,0.18,建信基金,1.0181,尹润泉,2023-02-07,None,None,None,None
018772,南方惠享稳健添利债券A,债券型-混合二级,0.23,南方基金,1.0181,刘建岩,2023-10-24,None,None,None,None
261001,景顺长城稳定收益债券A,债券型-混合一级,0.98,景顺长城基金,1.0180,何江波,2019-02-14,3.25%,-0.37,0.87%,8.86%
001556,天弘中证500指数增强A,指数型-股票,21.52,天弘基金,1.0180,杨超,2019-08-12,17.98%,-0.64,-26.90%,31.87%
960001,广发行业领先混合H,混合型-偏股,0.01,广发基金,1.0180,程琨,2019-05-31,17.98%,None,-23.32%,56.43%
006505,永赢祥益债券A,债券型-长债,11.22,永赢基金,1.0180,牟琼屿,2018-10-12,0.55%,3.84,11.20%,18.71%
004919,兴全兴泰定期开放债券,债券型-长债,101.22,兴证全球基金,1.0180,田志祥,2020-07-03,0.65%,4.13,13.06%,21.75%
012833,交银鸿信一年持有期混合A,混合型-偏债,5.47,交银施罗德基金,1.0180,于海颖,2021-08-06,None,None,None,None
011624,华夏卓享债券A,债券型-混合二级,0.46,华夏基金,1.0180,孙蕾,2023-03-21,None,None,None,None
013730,方正富邦稳恒3个月定开债,债券型-长债,7.09,方正富邦基金,1.0180,区德成,2021-12-07,None,None,None,None
015389,宝盈转型动力混合C,混合型-灵活,0.69,宝盈基金,1.0180,容志能,2023-03-17,None,None,None,None
015996,汇安裕盈纯债债券C,债券型-长债,0.00,汇安基金,1.0180,张昆,2022-10-12,None,None,None,None
020169,广发信远回报混合C,混合型-偏股,1.86,广发基金,1.0180,冯汉杰,2024-02-06,None,None,None,None
018635,嘉实稳健增利6个月持有混合A,混合型-偏债,2.00,嘉实基金,1.0180,高群山,2024-01-23,None,None,None,None
003476,南方安颐混合,混合型-偏债,0.55,南方基金,1.0179,李轶,2023-06-19,5.06%,-0.88,-8.55%,12.96%
007720,永赢元利债券C,债券型-长债,0.00,永赢基金,1.0179,牟琼屿,2020-02-28,0.69%,1.75,8.38%,None
010279,南华瑞泰39个月定开C,债券型-长债,0.00,南华基金,1.0179,何林泽,2021-04-28,None,None,9.05%,None
010485,中航瑞晨87个月定开债A,债券型-长债,81.18,中航基金,1.0178,茅勇峰,2020-11-23,None,None,14.08%,None
014810,华安沣瑞一年持有混合C,混合型-偏债,0.21,华安基金,1.0178,吴文明,2022-01-25,None,None,None,None
014004,博时富璟纯债一年定开债,债券型-长债,63.21,博时基金,1.0178,李秋实,2024-05-20,None,None,None,None
017717,嘉实多盈债券A,债券型-混合二级,9.39,嘉实基金,1.0178,赖礼辉,2023-02-28,None,None,None,None
016750,申万菱信安泰永利利率债一年定开债发起式,债券型-长债,2.17,申万菱信基金,1.0178,沈科,2023-05-16,None,None,None,None
018845,创金合信利辉利率债债券C,债券型-长债,0.00,创金合信基金,1.0178,孙霄宇,2023-07-19,None,None,None,None
001905,华安安益灵活配置混合A,混合型-灵活,0.23,华安基金,1.0177,张瑞,2022-05-16,6.28%,-0.49,-4.70%,3.44%
018355,安信中证同业存单AAA指数7天持有,指数型-固收,6.39,安信基金,1.0177,任凭,2023-08-15,None,None,None,None
018165,宝盈中证同业存单AAA指数7天持有,指数型-固收,2.72,宝盈基金,1.0177,程逸飞,2023-11-15,None,None,None,None
019302,鹏华产业债债券C,债券型-混合一级,0.71,鹏华基金,1.0177,祝松,2023-09-18,None,None,None,None
020149,易方达安泽180天持有期债券A,债券型-混合一级,2.70,易方达基金,1.0177,王晓晨,2024-01-24,None,None,None,None
020202,贝莱德安睿30天持有债券A,债券型-长债,1.87,贝莱德基金管理,1.0177,王洋/WANG YANG,2023-12-25,None,None,None,None
020248,惠升中债7-10年政金债指数,指数型-固收,54.00,惠升基金,1.0177,沈亚峰,2024-03-13,None,None,None,None
519333,浦银安盛盛达纯债债券C,债券型-长债,0.00,浦银安盛基金,1.0176,章潇枫,2017-05-15,0.59%,1.57,7.43%,13.79%
005431,上银聚增富定期开放债券,债券型-长债,3.81,上银基金,1.0176,高永,2017-12-27,None,None,6.52%,13.06%
013497,易方达裕华利率债3个月定开债,债券型-长债,8.81,易方达基金,1.0176,纪玲云,2021-11-26,None,None,None,None
004767,中银智享债券A,债券型-长债,20.22,中银基金,1.0176,田原,2020-10-15,1.87%,-0.43,2.11%,9.89%
005393,南方卓利3个月定开债,债券型-长债,96.77,南方基金,1.0176,李璇,2023-08-04,0.79%,2.00,9.54%,16.47%
015166,华泰保兴长三角金融债一年定开债券,债券型-长债,10.28,华泰保兴基金,1.0176,周咏梅,2023-05-11,None,None,None,None
018260,国联融誉双华6个月持有债券A,债券型-混合二级,1.44,国联基金,1.0176,潘巍,2023-08-23,None,None,None,None
021014,信澳悦享利率债C,债券型-长债,0.00,信达澳亚基金,1.0176,赵琳婧,2024-03-13,None,None,None,None
006795,国泰裕祥三个月定开债,债券型-长债,10.32,国泰基金,1.0175,胡智磊,2023-04-07,None,None,11.60%,None
011227,西部利得聚盈一年定开债C,债券型-混合二级,0.10,西部利得基金,1.0175,严志勇,2022-04-07,None,None,None,None
016194,恒生前海恒悦纯债C,债券型-长债,0.00,恒生前海基金,1.0175,吕程,2023-05-19,None,None,None,None
012471,中加邮益一年持有混合A,混合型-偏债,0.61,中加基金,1.0174,黄晓磊,2023-03-14,None,None,None,None
017205,中银智享债券C,债券型-长债,0.01,中银基金,1.0174,田原,2022-11-14,None,None,None,None
017088,景顺长城融景瑞利一年持有期混合A,混合型-偏债,1.57,景顺长城基金,1.0174,毛从容,2023-06-20,None,None,None,None
018584,浦银安盛普兴3个月定开债券,债券型-长债,30.21,浦银安盛基金,1.0174,陶祺,2023-06-29,None,None,None,None
018623,海富通盈丰一年定开债券发起式,债券型-长债,10.16,海富通基金,1.0174,陈轶平,2023-08-29,None,None,None,None
018439,财通资管品质消费混合发起式C,混合型-偏股,0.14,财通资管,1.0174,林伟,2023-05-11,None,None,None,None
018988,博时双季益六个月持有期债券A,债券型-混合二级,1.50,博时基金,1.0174,杨永光,2023-10-10,None,None,None,None
009653,大成丰享回报混合A,混合型-偏债,0.43,大成基金,1.0173,孙丹,2020-11-18,3.97%,-0.41,-0.38%,None
012281,中欧精益稳健一年持有混合,混合型-偏债,7.21,中欧基金,1.0173,黄华,2021-06-10,None,None,1.69%,None
015437,太平安元债券A,债券型-混合二级,0.99,太平基金,1.0173,陈晓,2022-05-05,None,None,None,None
019760,中信建投质选成长混合发起式A,混合型-偏股,0.15,中信建投基金,1.0173,周户,2023-12-01,None,None,None,None
020711,同泰恒兴纯债D,债券型-长债,0.50,同泰基金,1.0173,马毅,2024-02-22,None,None,None,None
006944,永赢悦利债券,债券型-长债,95.81,永赢基金,1.0172,吴玮,2020-12-03,0.76%,0.89,6.67%,12.34%
009764,惠升和悦债券C,债券型-混合二级,0.00,惠升基金,1.0172,李刚,2022-11-14,3.25%,-0.90,-4.23%,None
019285,平安惠旭纯债A,债券型-长债,30.05,平安基金,1.0172,李瑾懿,2023-11-28,None,None,None,None
019400,国泰君安安睿纯债债券,债券型-中短债,17.42,上海国泰君安资管,1.0172,朱莹,2023-12-05,None,None,None,None
009544,申万菱信安泰富利三年定开C,债券型-长债,0.00,申万菱信基金,1.0171,叶瑜珍,2021-08-10,None,None,7.40%,None
011768,泰康合润混合C,混合型-偏债,0.31,泰康基金,1.0171,蒋利娟,2021-04-07,3.97%,-0.22,1.92%,None
011390,华安添祥6个月持有混合A,混合型-偏债,2.78,华安基金,1.0171,陆奔,2021-07-21,None,None,None,None
019098,中银证券中证同业存单AAA指数7天持有期,指数型-固收,8.32,中银证券,1.0171,吕文晔,2023-09-19,None,None,None,None
006730,万家中证500指数增强C,指数型-股票,6.01,万家基金,1.0170,乔亮,2019-09-06,17.46%,-0.39,-15.32%,45.84%
008019,华富安兴39个月定开债C,债券型-长债,0.00,华富基金,1.0170,倪莉莎,2019-10-31,None,None,9.73%,None
008963,建信科技创新混合C,混合型-偏股,0.38,建信基金,1.0170,邵卓,2020-04-14,20.64%,-0.57,-27.98%,None
011655,天弘兴益一年定开,债券型-长债,54.74,天弘基金,1.0170,刘洋,2021-05-28,0.83%,2.80,11.87%,None
012937,大成惠业一年定开债发起式,债券型-长债,30.13,大成基金,1.0170,方锐,2024-03-14,None,None,None,None
016745,大摩18个月定开债A,债券型-长债,0.00,摩根士丹利基金,1.0170,施同亮,2022-10-10,None,None,None,None
017310,创金合信利泽纯债债券C,债券型-长债,30.08,创金合信基金,1.0170,王一兵,2022-12-05,None,None,None,None
020354,农银瑞益一年持有混合A,混合型-偏债,1.53,农银汇理基金,1.0170,刘莎莎,2024-01-24,None,None,None,None
018867,东方红3个月定开纯债,债券型-长债,7.09,东方红资产管理,1.0170,丁锐,2023-11-27,None,None,None,None
019217,永赢腾利债券A,债券型-长债,30.13,永赢基金,1.0170,吴玮,2024-02-06,None,None,None,None
020117,南华丰元量化选股混合A,混合型-偏股,0.82,南华基金,1.0170,黄志钢,2024-01-23,None,None,None,None
290003,泰信双息双利债券,债券型-混合二级,0.18,泰信基金,1.0169,郑宇光,2020-09-01,7.21%,0.11,7.00%,20.71%
013457,华夏鼎业三个月定开债券A,债券型-长债,25.94,华夏基金,1.0169,孙蕾,2024-03-04,None,None,None,None
013267,天弘安康颐利混合A,混合型-偏债,0.50,天弘基金,1.0169,贺剑,2022-04-15,None,None,None,None
872028,广发资管多添利六个月持有期债券C,债券型-混合二级,0.03,广发资产管理,1.0169,骆霖苇,2024-04-09,None,None,None,None
012826,工银聚宁9个月持有期混合A,混合型-偏债,6.92,工银瑞信基金,1.0168,景晓达,2021-08-27,None,None,None,None
013008,淳厚稳宁6个月定开债,债券型-长债,2.52,淳厚基金,1.0168,祁洁萍,2021-12-15,None,None,None,None
016536,中加颐享纯债债券C,债券型-长债,2.10,中加基金,1.0168,于跃,2022-08-22,None,None,None,None
018641,华安沣润债券C,债券型-混合二级,0.16,华安基金,1.0168,吴文明,2023-09-25,None,None,None,None
019321,易方达中证500质量成长ETF联接发起式C,指数型-股票,0.03,易方达基金,1.0168,伍臣东,2023-09-21,None,None,None,None
020150,易方达安泽180天持有期债券C,债券型-混合一级,7.51,易方达基金,1.0168,王晓晨,2024-01-24,None,None,None,None
007563,兴银汇逸定开债,债券型-长债,10.22,兴银基金管理,1.0167,李文程,2020-01-08,None,None,9.96%,None
012890,大成景盈债券C,债券型-长债,0.00,大成基金,1.0167,刘传毅,2024-05-17,1.04%,1.17,8.40%,None
019349,中信保诚瑞丰6个月混合A,混合型-偏债,0.75,中信保诚基金,1.0167,提云涛,2023-11-28,None,None,None,None
673143,西部利得景程混合C,混合型-灵活,1.27,西部利得基金,1.0166,陈蒙,2021-02-27,20.87%,-0.39,-18.42%,-9.11%
006632,鑫元臻利C,债券型-长债,0.00,鑫元基金,1.0166,颜昕,2022-09-30,0.68%,2.12,9.07%,16.27%
008160,前海联合淳安3年定开债券,债券型-长债,0.00,前海联合,1.0166,张文,2020-10-28,None,None,6.03%,None
009643,嘉实致信一年定期纯债债券,债券型-长债,25.17,嘉实基金,1.0166,轩璇,2020-06-22,0.66%,4.83,14.78%,None
012659,华安安益灵活配置混合C,混合型-灵活,0.00,华安基金,1.0166,张瑞,2022-05-16,6.31%,-0.50,-4.80%,None
003746,广发汇瑞3个月定开债券,债券型-长债,73.88,广发基金,1.0166,赵子良,2021-04-07,None,None,8.88%,16.89%
018989,博时双季益六个月持有期债券C,债券型-混合二级,0.59,博时基金,1.0166,杨永光,2023-10-10,None,None,None,None
501219,华夏智胜先锋股票(LOF)A,股票型,17.11,华夏基金,1.0165,孙蒙,2021-12-15,None,None,None,None
013670,国联安恒泰3个月定开债,债券型-长债,0.30,国联安基金,1.0165,张蕙显,2022-03-30,None,None,None,None
015933,中泰安悦6个月定开债A,债券型-长债,11.79,中泰证券(上海)资管,1.0165,蔡凤仪,2022-09-19,None,None,None,None
017798,易方达恒固18个月封闭式债券A,债券型-混合一级,77.07,易方达基金,1.0165,纪玲云,2023-03-06,None,None,None,None
020203,贝莱德安睿30天持有债券C,债券型-长债,6.33,贝莱德基金管理,1.0165,王洋/WANG YANG,2023-12-25,None,None,None,None
020983,博时国证消费电子主题指数发起式A,指数型-股票,0.10,博时基金,1.0165,李庆阳,2024-04-23,None,None,None,None
006077,创金合信恒利超短债债券C,债券型-中短债,1.73,创金合信基金,1.0164,谢创,2018-09-11,0.27%,4.16,8.14%,14.63%
012330,广发集优9个月持有期债券A,债券型-混合二级,6.34,广发基金,1.0164,曾刚,2021-05-24,3.62%,-0.26,1.72%,None
970104,华创证券创享一年持有债券B,债券型-混合二级,0.14,华创证券,1.0164,肖帅,2021-12-24,None,None,None,None
005575,长信稳鑫三个月定开债发起式,债券型-长债,10.07,长信基金,1.0163,陆莹,2018-01-19,None,None,10.66%,18.19%
003442,招商招惠3个月定期开放债券A,债券型-长债,63.88,招商基金,1.0163,夏里鹏,2020-03-06,0.68%,3.01,11.01%,17.46%
008796,国联恒安纯债A,债券型-长债,10.18,国联基金,1.0163,石霄蒙,2021-11-18,0.35%,2.48,7.28%,None
009725,东方红优质甄选一年持有混合A,混合型-偏债,3.94,东方红资产管理,1.0163,王佳骏,2020-07-23,2.22%,0.10,5.28%,None
010486,中航瑞晨87个月定开债C,债券型-长债,0.00,中航基金,1.0163,茅勇峰,2020-11-23,None,None,13.94%,None
009839,国金惠丰39个月定开债,债券型-长债,80.69,国金基金,1.0163,谢雨芮,2022-12-14,None,None,9.51%,None
014266,创金合信汇鑫一年定开债券发起,债券型-长债,20.34,创金合信基金,1.0163,吕沂洋,2022-03-31,None,None,None,None
019724,鑫元稳丰利率债,债券型-长债,81.58,鑫元基金,1.0163,刘丽娟,2023-11-23,None,None,None,None
020528,国寿安保利率债三个月定期开放债券,债券型-长债,79.69,国寿安保基金,1.0163,黄力,2024-01-24,None,None,None,None
007278,国泰兴富三个月定开债,债券型-长债,29.93,国泰基金,1.0162,胡智磊,2023-06-02,0.75%,2.79,11.18%,None
009906,诺德安瑞39个月定开,债券型-长债,80.55,诺德基金,1.0162,景辉,2020-08-26,None,None,9.69%,None
011952,万家悦兴3个月定期开放债券型发起式A,债券型-长债,30.11,万家基金,1.0162,石东,2023-08-07,None,None,None,None
012795,易方达裕兴3个月定开债,债券型-长债,4.08,易方达基金,1.0162,纪玲云,2022-02-28,None,None,None,None
014973,景顺长城景泰悦利三个月定开债A,债券型-长债,24.06,景顺长城基金,1.0162,赵天彤,2023-01-10,None,None,None,None
017488,嘉实信息产业股票发起式A,股票型,2.45,嘉实基金,1.0162,李涛,2022-12-16,None,None,None,None
019218,永赢腾利债券C,债券型-长债,0.00,永赢基金,1.0162,吴玮,2024-02-06,None,None,None,None
870008,广发乾利一年持有期债券A,债券型-混合二级,1.44,广发资产管理,1.0161,柳雯青,2023-01-19,3.34%,-1.41,-9.32%,None
007979,万家惠享39个月定开债,债券型-长债,107.35,万家基金,1.0161,陈佳昀,2023-05-13,None,None,8.91%,None
010942,招商瑞乐6个月持有期混合A,混合型-偏债,3.26,招商基金,1.0161,余芽芳,2021-07-13,None,None,None,None
011049,天弘恒新混合C,混合型-偏债,0.08,天弘基金,1.0161,贺剑,2021-07-13,None,None,None,None
015492,中航瑞发3个月定开债A,债券型-长债,20.18,中航基金,1.0161,汪术勤,2022-09-08,None,None,None,None
018636,嘉实稳健增利6个月持有混合C,混合型-偏债,1.27,嘉实基金,1.0161,高群山,2024-01-23,None,None,None,None
020984,博时国证消费电子主题指数发起式C,指数型-股票,0.00,博时基金,1.0161,李庆阳,2024-04-23,None,None,None,None
000265,易方达恒久添利1年定开债A,债券型-长债,17.49,易方达基金,1.0160,藏海涛,2020-02-29,0.85%,3.44,13.80%,24.77%
001415,中信保诚新锐混合A,混合型-灵活,0.07,中信保诚基金,1.0160,杨立春,2016-07-26,4.21%,-0.83,-5.84%,18.63%
000377,摩根双债增利债券A,债券型-混合二级,1.37,摩根资产管理,1.0160,陈圆明,2021-09-24,6.11%,-0.43,-3.33%,2.22%
001589,天弘中证800指数C,指数型-股票,0.33,天弘基金,1.0160,贺雨轩,2022-09-07,15.13%,-0.71,-25.34%,10.88%
