基金代码,基金简称,基金类型,资产规模(亿),基金管理人,基金净值,基金经理(最近连续最长任职),基金经理的上任时间,近三年标准差,近三年夏普,近三年涨幅,近五年涨幅
010606,创金合信鑫祥混合C,混合型-偏债,0.43,创金合信基金,1.1108,黄弢,2021-02-04,4.91%,0.45,11.50%,None
008821,大成景悦中短债C,债券型-中短债,0.13,大成基金,1.1107,郑欣,2023-10-27,0.36%,1.92,6.72%,None
002882,中加丰润纯债债券C,债券型-长债,23.89,中加基金,1.1106,张楠,2023-11-24,0.52%,5.70,14.00%,19.80%
006054,中航瑞景3个月定开C,债券型-长债,0.00,中航基金,1.1106,茅勇峰,2018-08-28,0.75%,2.31,10.04%,19.08%
011118,汇添富稳健睿选一年持有混合A,混合型-偏债,0.82,汇添富基金,1.1106,吴江宏,2021-03-04,3.72%,0.37,8.84%,None
008772,南方昭元债券C,债券型-长债,0.00,南方基金,1.1106,杜才超,2024-03-25,0.80%,1.30,7.81%,None
019651,汇添富稳健睿选一年持有混合B,混合型-偏债,0.00,汇添富基金,1.1106,吴江宏,2024-02-01,None,None,None,None
003568,平安惠利纯债A,债券型-长债,27.40,平安基金,1.1105,田元强,2021-06-07,0.68%,3.81,12.81%,23.37%
007791,南方梦元短债C,债券型-中短债,4.45,南方基金,1.1105,王景明,2021-08-27,0.24%,4.21,7.66%,None
009069,大成睿鑫股票A,股票型,2.81,大成基金,1.1105,刘旭,2020-08-11,15.03%,0.09,8.67%,None
011029,安信永盈一年定开债券,债券型-长债,7.76,安信基金,1.1105,梁冰哲,2021-08-30,None,None,15.08%,None
021290,安信宝利债券(LOF)F,债券型-混合一级,None,安信基金,1.1105,宛晴,2024-04-16,None,None,None,None
001634,万家瑞祥混合C,混合型-灵活,0.29,万家基金,1.1104,苏谋东,2018-08-15,3.57%,-0.73,-3.28%,15.54%
009197,北信瑞丰鼎盛中短债C,债券型-中短债,0.06,北信瑞丰,1.1104,靳晓龙,2021-03-11,0.67%,2.11,9.01%,None
007953,平安惠文纯债,债券型-长债,10.68,平安基金,1.1102,段玮婧,2021-06-07,0.83%,2.88,12.15%,None
020104,易方达中证石化产业ETF联接发起式A,指数型-股票,0.11,易方达基金,1.1102,李树建,2024-01-05,None,None,None,None
002254,长信金葵纯债A,债券型-长债,5.07,长信基金,1.1102,冯彬,2019-10-11,None,None,15.60%,24.24%
001357,泓德泓富混合A,混合型-灵活,0.89,泓德基金,1.1101,刘星洋,2022-03-24,9.79%,-0.74,-16.26%,61.56%
003545,东兴兴利债券A,债券型-混合二级,12.49,东兴基金,1.1101,司马义买买提,2021-04-27,0.35%,7.11,12.49%,22.69%
008825,民生瑞盈一年定开债发起式,债券型-长债,9.25,民生加银基金,1.1101,裴禹翔,2022-07-20,None,None,10.72%,None
009423,招商瑞信稳健配置混合A,混合型-偏债,11.56,招商基金,1.1101,余芽芳,2020-06-02,2.38%,-0.14,3.57%,None
014949,交银恒益灵活配置混合C,混合型-灵活,5.55,交银施罗德基金,1.1101,王艺伟,2022-01-25,None,None,None,None
021001,平安惠利纯债C,债券型-长债,None,平安基金,1.1101,田元强,2024-03-21,None,None,None,None
070039,嘉实中证500ETF联接C,指数型-股票,5.48,嘉实基金,1.1100,何如,2018-09-13,17.63%,-0.56,-23.15%,3.27%
006681,景顺长城景泰聚利纯债,债券型-长债,19.20,景顺长城基金,1.1100,郭杰,2022-11-19,0.30%,2.54,6.97%,13.67%
013805,财通资管鸿越3个月滚动持有债券B,债券型-中短债,1.54,财通资管,1.1100,陈希希,2021-11-22,None,None,None,None
004038,中银富享定开债,债券型-长债,16.23,中银基金,1.1099,王晓彦,2022-05-27,None,None,11.24%,17.75%
016186,广发中证全指电力ETF发起式联接C,指数型-股票,1.33,广发基金,1.1099,陆志明,2022-07-19,None,None,None,None
005592,长安裕腾混合C,混合型-灵活,1.35,长安基金,1.1098,孟楠,2023-05-26,0.76%,0.59,5.96%,16.10%
009019,西部利得聚泰18个月定开债C,债券型-混合一级,0.45,西部利得基金,1.1098,严志勇,2020-03-25,1.81%,2.05,16.46%,None
021003,平安惠利纯债E,债券型-长债,None,平安基金,1.1098,田元强,2024-03-21,None,None,None,None
163806,中银增利债券,债券型-混合一级,3.72,中银基金,1.1097,王晓彦,2022-11-11,2.41%,-0.36,1.90%,10.78%
014805,国金量化精选混合A,混合型-偏股,21.54,国金基金,1.1097,马芳,2022-03-18,None,None,None,None
006070,银河沃丰债券,债券型-长债,7.52,银河基金,1.1096,刘铭,2018-09-14,0.82%,2.72,11.61%,18.59%
006149,南方赢元,债券型-长债,10.23,南方基金,1.1096,刘骥,2021-02-26,0.69%,3.02,11.16%,23.07%
013806,财通资管鸿越3个月滚动持有债券C,债券型-中短债,4.20,财通资管,1.1096,陈希希,2021-11-22,None,None,None,None
019261,富国恒生港股通高股息低波动ETF发起式联接C,指数型-股票,0.08,富国基金,1.1096,田希蒙,2023-09-12,None,None,None,None
001229,德邦福鑫灵活配置混合A,混合型-灵活,0.85,德邦基金,1.1094,雷涛,2023-10-13,29.77%,-0.63,-43.42%,15.63%
002255,长信金葵纯债C,债券型-长债,0.02,长信基金,1.1094,冯彬,2019-10-11,None,None,14.44%,22.05%
519329,浦银安盛盛泰纯债债券C,债券型-长债,0.00,浦银安盛基金,1.1094,陶祺,2021-12-14,0.45%,0.55,5.33%,10.96%
004301,国寿安保稳信混合A,混合型-偏债,1.37,国寿安保基金,1.1094,李丹,2019-01-09,5.48%,-0.61,-5.37%,22.48%
009908,湘财长泽灵活配置混合C,混合型-灵活,1.42,湘财基金,1.1094,徐亦达,2021-03-26,17.11%,0.25,18.52%,None
010256,农银汇理金汇债券C,债券型-长债,7.65,农银汇理基金,1.1094,马逸钧,2021-07-01,0.26%,4.12,7.92%,None
018918,华夏清洁能源龙头混合发起式A,混合型-偏股,0.46,华夏基金,1.1094,杨宇,2023-08-22,None,None,None,None
004648,南方安睿混合,混合型-偏债,3.56,南方基金,1.1093,吴冉劼,2021-01-22,4.16%,-0.12,3.03%,28.43%
009617,东兴兴利债券C,债券型-混合二级,71.79,东兴基金,1.1093,司马义买买提,2021-04-27,0.35%,7.02,12.44%,None
021046,平安港股通红利精选混合发起式A,混合型-偏股,0.10,平安基金,1.1093,丁琳,2024-03-26,None,None,None,None
004302,国寿安保稳信混合C,混合型-偏债,0.00,国寿安保基金,1.1092,李丹,2019-01-09,5.48%,-0.62,-5.57%,22.42%
009718,招商增浩一年定期开放混合A,混合型-偏债,0.22,招商基金,1.1092,姚飞军,2020-12-01,None,None,7.99%,None
012580,财通资管鸿安30天滚动中短债A,债券型-中短债,2.63,财通资管,1.1092,陈希希,2021-06-16,0.34%,5.61,10.65%,None
007691,永赢泽利一年定开,债券型-长债,10.38,永赢基金,1.1091,钱布克,2022-10-25,0.71%,2.84,10.94%,None
009388,嘉实稳福混合C,混合型-偏债,0.01,嘉实基金,1.1091,高群山,2022-09-22,7.36%,-0.24,-0.74%,None
002649,民生智造2025灵活配置混合,混合型-灵活,0.37,民生加银基金,1.1090,李君海,2023-06-07,20.68%,-1.19,-54.68%,4.81%
005503,汇添富理财60天债券E,债券型-中短债,1.27,汇添富基金,1.1090,温开强,2020-02-26,0.19%,1.71,5.56%,10.07%
006741,工银尊利中短债债券C,债券型-中短债,0.17,工银瑞信基金,1.1090,张略钊,2020-12-14,0.49%,1.68,7.11%,13.54%
002717,红塔红土盛隆灵活配置A,混合型-灵活,0.00,红塔红土,1.1089,赵耀,2016-06-03,11.40%,-0.82,-21.61%,28.43%
006958,鹏华永融一年定期开放债券,债券型-长债,8.58,鹏华基金,1.1088,刘涛,2019-03-12,None,None,12.61%,20.95%
014087,兴证全球恒悦180天持有债券C,债券型-长债,34.86,兴证全球基金,1.1088,田志祥,2021-12-08,None,None,None,None
000694,鑫元鸿利A,债券型-长债,8.55,鑫元基金,1.1087,赵慧,2021-03-25,0.74%,2.91,11.38%,16.62%
006661,永赢昌益债券C,债券型-长债,0.00,永赢基金,1.1087,徐沛琳,2021-11-17,0.67%,2.07,8.93%,13.97%
007175,国联聚通定期开放债券,债券型-长债,7.46,国联基金,1.1087,王玥,2019-11-22,0.84%,3.95,15.21%,None
008689,大成景乐纯债债券C,债券型-长债,0.01,大成基金,1.1086,郑欣,2022-07-14,0.56%,1.54,7.24%,None
013678,富国信享回报12个月持有混合A,混合型-偏债,1.88,富国基金,1.1086,易智泉,2021-10-27,None,None,None,None
020105,易方达中证石化产业ETF联接发起式C,指数型-股票,0.00,易方达基金,1.1086,李树建,2024-01-05,None,None,None,None
