代码,基金名称,基金分类,晨星评级(三年),晨星评级(五年),净值日期,单位净值(元),净值日变动(元),今年以来回报(%)
003103,长盛盛裕纯债债券C,信用债,5,5,2024-07-04,1.0413,0.0000,3.28
006700,红土创新稳健混合A,保守混合,5,5,2024-07-04,1.5295,-0.0015,5.06
161693,融通债券 - C,普通债券,5,3,2024-07-04,1.0935,0.0001,2.35
006551,中庚价值领航混合,沪港深积极配置,5,5,2024-07-04,2.1863,-0.0151,0.03
006961,南方中债7-10年国开行债券指数A,利率债,5,5,2024-07-04,1.2755,-0.0004,5.10
003495,鹏华弘尚灵活配置混合A,保守混合,5,5,2024-07-04,1.5550,0.0002,6.54
004011,华泰柏瑞鼎利混合C,保守混合,5,5,2024-07-04,1.5800,-0.0012,3.54
006962,南方中债7-10年国开行债券指数C,利率债,5,5,2024-07-04,1.2689,-0.0003,5.05
002091,华泰柏瑞新利灵活配置混合C,灵活配置,5,5,2024-07-04,1.5557,-0.0013,3.71
007744,长盛安逸纯债债券A,信用债,5,0,2024-07-04,1.2282,0.0001,2.78
003376,广发中债7-10年国开债指数A,利率债,5,5,2024-07-04,1.2635,-0.0004,4.80
006748,富国中证价值ETF联接A,中盘平衡股票,5,5,2024-07-04,1.9943,-0.0219,7.35
011018,景顺长城安泽回报一年持有期混合A,沪港深保守混合,5,0,2024-07-04,1.2068,-0.0023,9.09
010430,招商安阳债券A,积极债券,5,0,2024-07-04,1.0419,-0.0027,5.78
008708,建信富时100指数（QDII）美元现汇 C,QDII环球股票,5,0,2024-07-03,$0.1559,0.0012,6.13
011062,广发中债7-10年国开债指数E,利率债,5,0,2024-07-04,1.2589,-0.0004,4.74
006549,国金惠盈纯债债券A,纯债,5,5,2024-07-04,1.2529,0.0005,5.12
007562,景顺长城景泰纯利债券A,普通债券,5,0,2024-07-04,1.1308,-0.0011,2.79
003496,鹏华弘尚灵活配置混合C,保守混合,5,5,2024-07-04,1.6030,0.0001,6.42
006061,红土创新增强收益债券A,积极债券,5,5,2024-07-04,1.4061,-0.0016,4.53
002878,华夏大中华信用精选债券（QDII）A 美元现汇,QDII环球债券,5,5,2024-07-03,$0.1497,0.0001,8.09
002879,华夏大中华信用精选债券（QDII）A 美元现钞,QDII环球债券,5,5,2024-07-03,$0.1497,0.0001,8.09
000745,北信瑞丰稳定收益债券C,积极债券,5,3,2024-07-04,1.2570,0.0000,3.37
006374,富兰克林国海全球科技互联混合（QDII）美元现汇,QDII 环球股债混合,5,5,2024-07-03,$3.1689,0.0259,22.80
003218,前海开源祥和债券A,积极债券,5,4,2024-07-04,1.4782,-0.0033,2.95
080005,长盛量化红利混合A,积极配置 - 大盘平衡,5,5,2024-07-04,2.7835,-0.0050,16.17
007817,国泰中证全指通信设备ETF联接基金A,行业股票-科技、传媒及通讯,5,0,2024-07-04,1.1581,-0.0073,12.28
006064,红土创新增强收益债券C,积极债券,5,5,2024-07-04,1.3994,-0.0015,4.41
510080,长盛全债指数增强债券A,普通债券,5,5,2024-07-04,1.6064,-0.0025,3.06
007551,鑫元泽利债券A,普通债券,5,0,2024-07-04,1.1074,-0.0006,3.32
006210,东方臻宝纯债债券A,纯债,5,5,2024-07-04,4.2186,0.0006,2.87
006760,国金惠盈纯债债券C,纯债,5,5,2024-07-04,1.2426,0.0005,5.01
003358,易方达中债7-10年期国开行债券指数A,利率债,5,5,2024-07-04,1.2792,-0.0003,4.37
007745,长盛安逸纯债债券C,信用债,5,0,2024-07-04,1.2089,0.0001,2.62
003377,广发中债7-10年国开债指数C,利率债,5,5,2024-07-04,1.2278,-0.0003,4.62
007228,华安中债7-10年国开行债券指数A,利率债,5,0,2024-07-04,1.1327,-0.0003,4.58
970024,华安证券聚赢一年持有期债券A,普通债券,5,0,2024-07-04,1.2103,-0.0003,2.90
009604,国金惠盈纯债债券E,纯债,5,0,2024-07-04,1.2317,0.0005,4.99
006211,东方臻宝纯债债券C,纯债,5,5,2024-07-04,1.2699,0.0002,2.81
003591,华泰柏瑞享利灵活配置混合A,保守混合,5,5,2024-07-04,1.4726,-0.0011,4.13
400030,东方添益债券,信用债,5,5,2024-07-04,1.3438,0.0005,4.00
009803,易方达中债7-10年期国开行债券指数C,利率债,5,0,2024-07-04,1.2735,-0.0003,4.32
007191,富国中证价值ETF联接C,中盘平衡股票,5,5,2024-07-04,1.9514,-0.0216,7.13
006848,博时中债5-10年农发行债券指数A,利率债,5,5,2024-07-04,1.1036,-0.0005,5.05
000573,天弘通利混合A,灵活配置,5,5,2024-07-04,1.9150,-0.0120,4.99
011019,景顺长城安泽回报一年持有期混合C,沪港深保守混合,5,0,2024-07-04,1.1910,-0.0023,8.87
010431,招商安阳债券C,积极债券,5,0,2024-07-04,1.0419,-0.0026,5.57
002138,泓德裕泰债券A,普通债券,5,5,2024-07-04,1.4067,0.0001,2.97
006701,红土创新稳健混合C,保守混合,5,5,2024-07-04,1.4791,-0.0014,4.77
970008,华安证券汇赢增利一年持有混合C,灵活配置,5,0,2024-07-04,1.2738,-0.0046,6.03
970006,华安证券汇赢增利一年持有混合A,灵活配置,5,0,2024-07-04,1.1995,-0.0043,6.02
008857,华夏鼎航债券A,信用债,5,0,2024-07-04,1.2298,0.0004,3.75
001917,招商量化精选股票A,中盘平衡股票,5,5,2024-07-04,2.0678,-0.0365,-5.48
007818,国泰中证全指通信设备ETF联接基金C,行业股票-科技、传媒及通讯,5,0,2024-07-04,1.1404,-0.0071,12.11
008269,大成睿享混合A,沪港深积极配置,5,0,2024-07-04,1.3285,-0.0098,-0.18
006849,博时中债5-10年农发行债券指数C,利率债,5,5,2024-07-04,1.1021,-0.0005,5.01
003289,创金合信尊泰纯债债券,纯债,5,5,2024-07-04,1.0064,0.0001,4.07
007107,太平 MSCI 香港价值增强指数A,香港股票,5,0,2024-07-04,1.1792,0.0054,13.69
