代码,基金名称,基金分类,晨星评级(三年),晨星评级(五年),净值日期,单位净值(元),净值日变动(元),今年以来回报(%)
014461,平安品质优选混合C,沪港深积极配置,0,0,2024-07-04,0.6255,-0.0002,-5.40
013272,国泰君安1年定开债券,纯债（封闭式）,0,0,2024-07-04,1.0206,0.0002,3.06
014202,天弘中证1000指数增强C,中盘成长股票,0,0,2024-07-04,0.8076,-0.0165,-12.49
014472,景顺远见成长混合A,沪港深积极配置,0,0,2024-07-04,0.9298,-0.0022,-8.64
014460,平安品质优选混合A,沪港深积极配置,0,0,2024-07-04,0.6382,-0.0002,-5.00
014201,天弘中证1000指数增强A,中盘成长股票,0,0,2024-07-04,0.8136,-0.0166,-12.37
970081,东海证券海鑫添利短债,短债,0,0,2024-07-04,1.0490,0.0000,1.04
517900,招商中证银行AH价格优选ETF,行业股票 - 金融地产,0,0,2024-07-04,1.1134,0.0053,22.82
013796,富国智申精选3个月持有期混合（FOF）E,积极配置 - 大盘平衡,0,0,2024-07-03,0.7893,-0.0036,-3.19
013795,富国智申精选3个月持有期混合（FOF）A,积极配置 - 大盘平衡,0,0,2024-07-03,0.8158,-0.0037,-2.80
014416,泰康研究精选股票A,沪港深股票,0,0,2024-07-04,0.6285,-0.0037,-5.55
014392,嘉实致乾纯债债券,纯债,0,0,2024-07-04,1.0648,-0.0002,2.95
014451,天弘新享一年定开债券,积极债券（封闭式）,0,0,2024-06-30,1.0309,0.0001,2.85
014417,泰康研究精选股票C,沪港深股票,0,0,2024-07-04,0.6207,-0.0036,-5.78
014243,富国新材料新能源混合C,积极配置 - 大盘成长,0,0,2024-07-04,1.0430,0.0033,-23.44
014256,富国中证娱乐主题指数增强（LOF）C,行业股票-科技、传媒及通讯,0,0,2024-07-04,0.5486,-0.0116,-10.80
014322,德邦周期精选混合C,沪港深积极配置,0,0,2024-07-04,1.0127,0.0010,17.89
014321,德邦周期精选混合A,沪港深积极配置,0,0,2024-07-04,1.0230,0.0011,18.14
014216,嘉实绝对收益策略定期开放混合C,市场中性策略（封闭式）,0,0,2024-07-04,1.3940,-0.0020,2.35
014346,银华消费主题混合C,行业混合 - 消费,0,0,2024-07-04,1.0399,-0.0090,-11.35
014422,弘毅远方消费升级混合C,积极配置 - 大盘成长,0,0,2024-07-04,1.0268,-0.0111,-9.43
013799,财通安裕30天持有期中短债债券A,短债,0,0,2024-07-04,1.0852,0.0001,1.62
013800,财通安裕30天持有期中短债债券C,短债,0,0,2024-07-04,1.0798,0.0002,1.52
970083,东海证券海盈6个月持有期混合,保守混合,0,0,2024-07-04,0.7368,-0.0005,0.15
013801,财通安裕30天持有期中短债债券E,短债,0,0,2024-07-04,1.0825,0.0002,1.58
014254,信澳智远三年持有期混合A,沪港深积极配置,0,0,2024-07-04,0.5685,-0.0073,-19.69
970106,第一创业创和一个月滚动持有债券,普通债券,0,0,2024-07-04,1.0404,0.0001,2.00
159611,广发中证全指电力ETF,行业股票 - 其它,0,0,2024-07-04,1.0590,-0.0057,21.72
014255,信澳智远三年持有期混合C,沪港深积极配置,0,0,2024-07-04,0.5630,-0.0072,-19.85
014501,华宸未来稳健添盈债券C,积极债券,0,0,2024-07-04,0.8768,-0.0046,-4.08
014500,华宸未来稳健添盈债券A,积极债券,0,0,2024-07-04,0.8846,-0.0046,-3.98
970096,东证融汇禧悦90天滚动持有中短债债券A,普通债券,0,0,2024-07-04,1.1108,0.0001,1.58
970097,东证融汇禧悦90天滚动持有中短债债券C,普通债券,0,0,2024-07-04,1.1016,0.0001,1.47
014377,东吴新能源汽车股票C,行业股票 - 其它,0,0,2024-07-04,1.0362,0.0045,2.77
014376,东吴新能源汽车股票A,行业股票 - 其它,0,0,2024-07-04,1.0464,0.0046,2.97
014301,创金合信景气行业3个月持有期股票（FOF）A,大盘成长股票,0,0,2024-07-03,0.6650,-0.0008,-9.35
014302,创金合信景气行业3个月持有期股票（FOF）C,大盘成长股票,0,0,2024-07-03,0.6583,-0.0008,-9.54
014440,博时恒鑫稳健一年持有期混合A,沪港深保守混合,0,0,2024-07-04,0.9979,-0.0016,1.02
014441,博时恒鑫稳健一年持有期混合C,沪港深保守混合,0,0,2024-07-04,0.9882,-0.0016,0.82
013323,国寿安保盛泽三年持有期混合A,沪港深积极配置,0,0,2024-07-04,0.6263,-0.0006,9.86
013324,国寿安保盛泽三年持有期混合C,沪港深积极配置,0,0,2024-07-04,0.6202,-0.0005,9.63
014535,南方MSCI中国A50互联互通ETF联接C,大盘平衡股票,0,0,2024-07-04,0.8290,-0.0003,7.96
014534,南方MSCI中国A50互联互通ETF联接A,大盘平衡股票,0,0,2024-07-04,0.8353,-0.0002,8.14
014529,汇添富MSCI中国A50互联互通ETF联接C,大盘平衡股票,0,0,2024-07-04,0.7881,-0.0002,7.96
014528,汇添富MSCI中国A50互联互通ETF联接A,大盘平衡股票,0,0,2024-07-04,0.7927,-0.0002,8.07
